Date : 2022-09-20 22:05:30
Directory : d:\Dokumente\Programming\Active Projects\jagdverband_scraper
Total : 127 files,  25230 codes, 1003 comments, 3960 blanks, all 30193 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\app_text_field.dart                                    | Dart       |        170 |         10 |          8 |        188 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\chart_app_bar.dart                                     | Dart       |         21 |          0 |          4 |         25 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\chart_legend.dart                                      | Dart       |         59 |          0 |          8 |         67 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\chip_selector_modal.dart                               | Dart       |         92 |          0 |          7 |         99 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\custom_drop_down.dart                                  | Dart       |        199 |         34 |         33 |        266 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\expanded_child_kill_entry.dart                         | Dart       |         57 |          0 |          6 |         63 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\hunting_time_list_entry.dart                           | Dart       |        154 |          0 |          9 |        163 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\kill_list_entry.dart                                   | Dart       |        284 |         16 |         18 |        318 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\no_data_found.dart                                     | Dart       |         36 |          0 |          3 |         39 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\lib\widgets\value_selector_modal.dart                              | Dart       |         51 |          1 |          5 |         57 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\flutter\generated_plugin_registrant.cc                       | C++        |          7 |          4 |          5 |         16 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\flutter\generated_plugin_registrant.h                        | C++        |          5 |          5 |          6 |         16 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\main.cc                                                      | C++        |          5 |          0 |          2 |          7 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\my_application.cc                                            | C++        |         74 |         11 |         20 |        105 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\linux\my_application.h                                             | C++        |          7 |          7 |          5 |         19 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift      |         16 |          3 |          4 |         23 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\AppDelegate.swift                                     | Swift      |          8 |          0 |          2 |         10 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |         68 |          0 |          1 |         69 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\Base.lproj\MainMenu.xib                               | XML        |        343 |          0 |          1 |        344 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\macos\Runner\MainFlutterWindow.swift                               | Swift      |         12 |          0 |          4 |         16 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\pubspec.yaml                                                       | YAML       |         56 |         89 |         10 |        155 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\test\widget_test.dart                                              | Dart       |         15 |         10 |          7 |         32 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\index.html                                                     | HTML       |         40 |         16 |          6 |         62 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\manifest.json                                                  | JSON       |         35 |          0 |          1 |         36 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\splash\splash.js                                               | JavaScript |         11 |          0 |          1 |         12 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\web\splash\style.css                                               | CSS        |         53 |          0 |         11 |         64 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\flutter\generated_plugin_registrant.cc                     | C++        |         12 |          4 |          5 |         21 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\flutter\generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\flutter_window.cpp                                  | C++        |         45 |          4 |         13 |         62 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\flutter_window.h                                    | C++        |         20 |          5 |          9 |         34 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\main.cpp                                            | C++        |         30 |          4 |         10 |         44 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\resource.h                                          | C++        |          9 |          6 |          2 |         17 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\utils.cpp                                           | C++        |         53 |          2 |         10 |         65 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\utils.h                                             | C++        |          8 |          6 |          6 |         20 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\win32_window.cpp                                    | C++        |        183 |         15 |         48 |        246 |
| d:\Dokumente\Programming\Active Projects\jagdverband_scraper\windows\runner\win32_window.h                                      | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                           |            |     25,230 |      1,003 |      3,960 |     30,193 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
